Work Item,Start,Duration,TeamworkTask,End,Notes
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,Grindstone 2 Teamworks
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,Grindstone 2 Teamworks
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,Grindstone 2 Teamworks
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,Grindstone 2 Teamworks
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,Grindstone 2 Teamworks
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,Grindstone 2 Teamworks
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,Grindstone 2 Teamworks
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,Grindstone 2 Teamworks
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,Grindstone 2 Teamworks
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,Grindstone 2 Teamworks
Product Documentation,04.04.2022 17:04:10,0:04:51,32237178,04.04.2022 17:09:01,R4.13 Release notes
General Office,04.04.2022 17:02:09,0:02:01,32237152,04.04.2022 17:04:10,
